"","X","ID","Temp.value","Mesocosm","Block","Survival","Death_Day","Count_1","Count_2","Count_3","Count_4","Count_5","Count_6","Count_7","Fitness","Total_Egg","Mass_g","Thorax_Width_mm","Body_Condition","Temp.treatment"
"17",17,17,28,20,1,1,"",7,0,0,6,0,0,1,2,14,0.072,3.77,"0.019098143",NA
"18",18,18,28,20,1,0,"7",9,4,11,1,NA,NA,NA,6.25,25,NA,NA,"#DIV/0!",NA
"19",19,19,28,19,1,1,"",10,12,8,1,0,0,1,4.571428571,32,0.064,3.49,"0.018338109",NA
"20",20,20,28,19,1,0,"4",7,5,NA,NA,NA,NA,NA,6,12,NA,NA,"#DIV/0!",NA
"21",21,21,28,19,1,0,"8",14,14,4,0,NA,NA,NA,8,32,NA,NA,"#DIV/0!",NA
"22",22,22,28,18,1,1,"",11,6,4,0,0,0,0,3,21,0.061,3.22,"0.018944099",NA
"23",23,23,28,18,1,0,"8",11,7,9,0,NA,NA,NA,6.75,27,NA,NA,"#DIV/0!",NA
"24",24,24,28,18,1,1,"",14,7,0,5,3,0,4,4.714285714,33,0.066,3.5,"0.018857143",NA
"25",25,25,28,17,1,1,"",11,17,28,8,5,0,NA,11.5,69,0.063,3.42,"0.018421053",NA
"26",26,26,28,17,1,0,"9",9,11,5,2,NA,NA,NA,6.75,27,NA,NA,"#DIV/0!",NA
"27",27,27,28,17,1,0,"7",6,0,0,NA,NA,NA,NA,2,6,NA,NA,"#DIV/0!",NA
"28",28,28,28,16,1,0,"8",7,14,11,5,NA,NA,NA,9.25,37,NA,NA,"#DIV/0!",NA
"29",29,29,28,16,1,1,"",0,0,5,0,0,0,0,0.714285714,5,0.064,3.44,"0.018604651",NA
"30",30,30,28,16,1,1,"",7,3,2,0,1,0,0,1.857142857,13,0.062,3.6,"0.017222222",NA
"31",31,31,26,15,1,1,"",7,7,9,2,0,0,0,3.571428571,25,0.065,3.55,"0.018309859","opt"
"32",32,32,26,15,1,1,"",3,2,0,1,0,0,0,0.857142857,6,0.063,3.45,"0.01826087","opt"
"33",33,33,26,15,1,0,"1",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"#DIV/0!","opt"
"34",34,34,26,14,1,1,"",5,4,11,0,0,0,0,2.857142857,20,0.069,3.74,"0.018449198","opt"
"35",35,35,26,14,1,0,"9",20,12,14,3,NA,NA,NA,12.25,49,NA,NA,"#DIV/0!","opt"
"36",36,36,26,14,1,0,"9",11,16,14,3,NA,NA,NA,11,44,NA,NA,"#DIV/0!","opt"
"37",37,37,26,13,1,0,"9",9,4,11,4,NA,NA,NA,7,28,NA,NA,"#DIV/0!","opt"
"38",38,38,26,13,1,0,"11",9,7,46,20,16,NA,NA,19.6,98,NA,NA,"#DIV/0!","opt"
"39",39,39,26,13,1,0,"17-May-24",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"#DIV/0!","opt"
"40",40,40,26,12,1,0,"13",6,0,10,5,3,0,NA,4,24,NA,NA,"#DIV/0!","opt"
"41",41,41,26,12,1,0,"8",3,3,9,0,NA,NA,NA,3.75,15,NA,NA,"#DIV/0!","opt"
"42",42,42,26,12,1,0,"9",10,4,4,0,NA,NA,NA,4.5,18,NA,NA,"#DIV/0!","opt"
"43",43,43,26,11,1,0,"7",1,0,6,NA,NA,NA,NA,2.333333333,7,NA,NA,"#DIV/0!","opt"
"44",44,44,26,11,1,1,"",9,3,7,2,8,0,3,4.571428571,32,0.061,3.36,"0.018154762","opt"
"45",45,45,26,11,1,0,"11",10,1,8,0,10,1,NA,5,30,NA,NA,"#DIV/0!","opt"
"46",46,46,24,10,1,0,"5",8,0,NA,NA,NA,NA,NA,4,8,NA,NA,"#DIV/0!",NA
"47",47,47,24,10,1,0,"7",3,3,6,NA,NA,NA,NA,4,12,NA,NA,"#DIV/0!",NA
"48",48,48,24,10,1,0,"9",4,3,0,0,NA,NA,NA,1.75,7,NA,NA,"#DIV/0!",NA
"49",49,49,24,9,1,0,"17-May-24",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"#DIV/0!",NA
"50",50,50,24,9,1,0,"8",11,6,9,3,NA,NA,NA,7.25,29,NA,NA,"#DIV/0!",NA
"51",51,51,24,9,1,1,"",9,6,8,7,0,0,0,4.285714286,30,0.068,3.53,"0.019263456",NA
"52",52,52,24,8,1,1,"",0,0,1,1,0,0,0,0.285714286,2,0.077,3.95,"0.019493671",NA
"53",53,53,24,8,1,0,"11",5,1,0,0,0,NA,NA,1.2,6,NA,NA,"#DIV/0!",NA
"54",54,54,24,8,1,1,"",17,1,1,7,4,NA,0,6,30,0.062,3.56,"0.01741573",NA
"55",55,55,24,7,1,0,"5",6,0,NA,NA,NA,NA,NA,3,6,NA,NA,"#DIV/0!",NA
"56",56,56,24,7,1,0,"7",19,13,0,NA,NA,NA,NA,10.66666667,32,NA,NA,"#DIV/0!",NA
"57",57,57,24,7,1,0,"5",1,0,NA,NA,NA,NA,NA,0.5,1,NA,NA,"#DIV/0!",NA
"58",58,58,24,6,1,0,"3",5,NA,NA,NA,NA,NA,NA,5,5,NA,NA,"#DIV/0!",NA
"59",59,59,24,6,1,0,"4",4,5,NA,NA,NA,NA,NA,4.5,9,NA,NA,"#DIV/0!",NA
"60",60,60,24,6,1,0,"5",2,1,NA,NA,NA,NA,NA,1.5,3,NA,NA,"#DIV/0!",NA
"61",61,61,22,5,1,0,"5",4,2,NA,NA,NA,NA,NA,3,6,NA,NA,"#DIV/0!",NA
"62",62,62,22,5,1,0,"8",3,4,0,0,NA,NA,NA,1.75,7,NA,NA,"#DIV/0!",NA
"63",63,63,22,5,1,0,"1",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"#DIV/0!",NA
"64",64,64,22,4,1,1,"",4,3,0,0,0,2,0,1.285714286,9,0.054,3.39,"0.015929204",NA
"65",65,65,22,4,1,1,"",4,1,0,2,6,0,2,2.142857143,15,0.067,3.37,"0.019881306",NA
"66",66,66,22,4,1,0,"1",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"#DIV/0!",NA
"67",67,67,22,3,1,1,"",10,14,4,3,15,5,4,7.857142857,55,0.065,3.53,"0.018413598",NA
"68",68,68,22,3,1,0,"5",12,7,1,NA,NA,NA,NA,6.666666667,20,NA,NA,"#DIV/0!",NA
"69",69,69,22,3,1,1,"",8,0,0,0,0,0,6,2,14,0.065,3.7,"0.017567568",NA
"70",70,70,22,2,1,1,"",14,9,4,9,8,2,4,7.142857143,50,0.069,3.63,"0.019008264",NA
"71",71,71,22,2,1,0,"3",7,NA,NA,NA,NA,NA,NA,7,7,NA,NA,"#DIV/0!",NA
"72",72,72,22,2,1,1,"",7,3,0,2,7,1,2,3.142857143,22,0.061,3.22,"0.018944099",NA
"73",73,73,22,1,1,0,"11",6,4,0,0,0,NA,NA,2,10,NA,NA,"#DIV/0!",NA
"74",74,74,22,1,1,1,"",4,1,0,0,0,0,0,0.714285714,5,0.055,3.47,"0.015850144",NA
"75",75,75,22,1,1,1,"",6,3,0,0,4,0,0,1.857142857,13,0.084,3.79,"0.022163588",NA
"76",76,76,16,30,1,1,"",6,4,8,7,1,0,0,3.714285714,26,0.081,3.74,"0.021657754","low"
"77",77,77,16,30,1,1,"",8,7,9,13,3,3,3,6.571428571,46,0.092,3.96,"0.023232323","low"
"78",78,78,16,30,1,0,"7",3,1,2,1,NA,NA,NA,1.75,7,NA,NA,"#DIV/0!","low"
"79",79,79,16,29,1,1,"",10,2,0,6,2,0,2,3.142857143,22,0.054,3.34,"0.016167665","low"
"80",80,80,16,29,1,1,"",6,0,0,0,0,0,0,0.857142857,6,0.064,3.47,"0.018443804","low"
"81",81,81,16,29,1,1,"",18,8,6,4,0,6,0,6,42,0.071,3.38,"0.021005917","low"
"82",82,82,16,28,1,1,"",8,9,3,4,0,0,0,3.428571429,24,0.056,3.25,"0.017230769","low"
"83",83,83,16,28,1,1,"",2,3,2,5,7,3,5,3.857142857,27,0.049,3.2,"0.0153125","low"
"84",84,84,16,28,1,1,"",2,4,7,7,4,0,0,3.428571429,24,0.065,3.36,"0.019345238","low"
"85",85,85,16,27,1,1,"",6,10,7,7,0,0,0,4.285714286,30,0.084,3.69,"0.022764228","low"
"86",86,86,16,27,1,1,"",10,3,5,4,3,2,0,3.857142857,27,0.065,3.28,"0.019817073","low"
"87",87,87,16,27,1,1,"",9,5,4,5,0,2,0,3.571428571,25,0.082,3.69,"0.022222222","low"
"88",88,88,16,26,1,1,"",4,4,5,6,0,1,0,2.857142857,20,0.084,3.65,"0.023013699","low"
"89",89,89,16,26,1,1,"",16,8,4,3,2,3,5,5.857142857,41,0.063,3.56,"0.017696629","low"
"90",90,90,16,26,1,1,"",8,0,2,1,0,2,9,3.142857143,22,0.066,3.65,"0.018082192","low"
"91",91,91,22,1,2,1,"",12,1,0,0,0,9,2,3.428571429,24,0.068,3.81,"#DIV/0!",NA
"92",92,92,22,1,2,1,"",11,6,29,9,2,0,2,8.428571429,59,0.078,3.8,"#DIV/0!",NA
"93",93,93,22,2,2,1,"",11,0,5,0,0,0,0,2.285714286,16,0.079,3.81,"#DIV/0!",NA
"94",94,94,22,2,2,0,"13",20,8,2,5,0,0,NA,5.833333333,35,NA,NA,"#DIV/0!",NA
"95",95,95,22,3,2,1,"",25,6,10,7,1,4,0,7.571428571,53,0.078,3.63,"#DIV/0!",NA
"96",96,96,22,3,2,0,"5",13,0,NA,NA,NA,NA,NA,6.5,13,NA,NA,"#DIV/0!",NA
"97",97,97,22,4,2,1,"",21,9,9,2,0,2,8,7.285714286,51,0.085,3.83,"#DIV/0!",NA
"98",98,98,22,4,2,0,"11",13,10,3,1,0,NA,NA,5.4,27,NA,NA,"#DIV/0!",NA
"99",99,99,22,5,2,0,"4",23,6,1,NA,NA,NA,NA,10,30,NA,NA,"#DIV/0!",NA
"100",100,100,22,5,2,0,"5",17,4,NA,NA,NA,NA,NA,10.5,21,NA,NA,"#DIV/0!",NA
"101",101,101,24,6,2,0,"5",10,0,NA,NA,NA,NA,NA,5,10,NA,NA,"#DIV/0!",NA
"102",102,102,24,6,2,0,"11",14,10,12,3,10,2,NA,8.5,51,NA,NA,"#DIV/0!",NA
"103",103,103,24,7,2,1,"",15,0,0,0,0,8,8,4.428571429,31,0.068,3.67,"#DIV/0!",NA
"104",104,104,24,7,2,1,"",13,10,10,2,7,2,0,6.285714286,44,0.084,3.85,"#DIV/0!",NA
"105",105,105,24,8,2,0,"9",39,5,9,0,NA,NA,NA,13.25,53,NA,NA,"#DIV/0!",NA
"106",106,106,24,8,2,0,"2",32,NA,NA,NA,NA,NA,NA,32,32,NA,NA,"#DIV/0!",NA
"107",107,107,24,9,2,1,"",25,1,5,2,0,0,20,7.571428571,53,0.077,3.73,"#DIV/0!",NA
"108",108,108,24,9,2,0,"4",36,6,1,NA,NA,NA,NA,14.33333333,43,NA,NA,"#DIV/0!",NA
"109",109,109,24,10,2,1,"",19,9,10,2,6,4,6,8,56,0.086,3.69,"#DIV/0!",NA
"110",110,110,24,10,2,0,"8",15,6,6,6,NA,NA,NA,8.25,33,NA,NA,"#DIV/0!",NA
"111",111,111,26,11,2,0,"8",26,8,14,0,NA,NA,NA,12,48,NA,NA,"#DIV/0!","opt"
"112",112,112,26,11,2,0,"7",26,6,13,NA,NA,NA,NA,15,45,NA,NA,"#DIV/0!","opt"
"113",113,113,26,12,2,0,"4",22,6,NA,NA,NA,NA,NA,14,28,NA,NA,"#DIV/0!","opt"
"114",114,114,26,12,2,1,"",8,0,0,6,2,5,0,3,21,0.065,3.41,"#DIV/0!","opt"
"115",115,115,26,13,2,1,"",36,5,5,6,0,0,12,9.142857143,64,0.071,3.73,"#DIV/0!","opt"
"116",116,116,26,13,2,1,"",20,2,5,4,1,3,14,7,49,0.081,3.84,"#DIV/0!","opt"
"117",117,117,26,14,2,0,"13",6,7,4,0,0,0,NA,2.833333333,17,0.086,3.64,"#DIV/0!","opt"
"118",118,118,26,14,2,1,"",37,14,2,1,2,0,12,9.714285714,68,0.088,3.95,"#DIV/0!","opt"
"119",119,119,26,15,2,1,"",17,7,11,1,3,4,11,7.714285714,54,0.075,3.7,"#DIV/0!","opt"
"120",120,120,26,15,2,0,"0",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"#DIV/0!","opt"
"121",121,121,28,16,2,1,"",39,0,4,4,3,6,10,9.428571429,66,0.086,3.94,"#DIV/0!",NA
"122",122,122,28,16,2,1,"",29,14,1,4,5,0,0,7.571428571,53,0.08,3.76,"#DIV/0!",NA
"123",123,123,28,17,2,0,"5",33,34,NA,NA,NA,NA,NA,33.5,67,NA,NA,"#DIV/0!",NA
"124",124,124,28,17,2,0,"5",29,1,NA,NA,NA,NA,NA,15,30,NA,NA,"#DIV/0!",NA
"125",125,125,28,18,2,0,"5",22,0,NA,NA,NA,NA,NA,11,22,NA,NA,"#DIV/0!",NA
"126",126,126,28,18,2,0,"1",17,NA,NA,NA,NA,NA,NA,17,17,NA,NA,"#DIV/0!",NA
"127",127,127,28,19,2,1,"",14,0,1,0,0,0,0,2.142857143,15,0.06,3.57,"#DIV/0!",NA
"128",128,128,28,19,2,0,"1",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"#DIV/0!",NA
"129",129,129,28,20,2,0,"13",6,12,16,0,0,1,NA,5.833333333,35,NA,NA,"#DIV/0!",NA
"130",130,130,28,20,2,0,"14",5,6,11,0,1,0,NA,3.833333333,23,NA,NA,"#DIV/0!",NA
"131",131,131,30,21,2,0,"3",33,5,NA,NA,NA,NA,NA,19,38,NA,NA,"#DIV/0!","high"
"132",132,132,30,21,2,0,"2",4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,"#DIV/0!","high"
"133",133,133,30,22,2,0,"0",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"#DIV/0!","high"
"134",134,134,30,22,2,0,"1",9,NA,NA,NA,NA,NA,NA,9,9,NA,NA,"#DIV/0!","high"
"135",135,135,30,23,2,0,"13",20,0,9,0,0,8,NA,6.166666667,37,NA,NA,"#DIV/0!","high"
"136",136,136,30,23,2,0,"5",0,7,NA,NA,NA,NA,NA,3.5,7,NA,NA,"#DIV/0!","high"
"137",137,137,30,24,2,0,"5",13,1,NA,NA,NA,NA,NA,7,14,NA,NA,"#DIV/0!","high"
"138",138,138,30,24,2,1,"",14,0,1,0,8,7,10,5.714285714,40,0.068,3.7,"#DIV/0!","high"
"139",139,139,30,25,2,0,"3",4,2,NA,NA,NA,NA,NA,3,6,NA,NA,"#DIV/0!","high"
"140",140,140,30,25,2,0,"5",15,0,NA,NA,NA,NA,NA,7.5,15,NA,NA,"#DIV/0!","high"
"141",141,141,16,26,2,1,"",6,10,4,2,0,9,5,5.142857143,36,0.054,3.46,"#DIV/0!","low"
"142",142,142,16,26,2,1,"",26,5,5,0,5,14,9,9.142857143,64,0.075,3.89,"#DIV/0!","low"
"143",143,143,16,27,2,1,"",6,1,0,0,1,2,0,1.428571429,10,0.062,3.53,"#DIV/0!","low"
"144",144,144,16,27,2,0,"1",2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,"#DIV/0!","low"
"145",145,145,16,28,2,1,"",13,11,4,6,4,3,3,6.285714286,44,0.074,3.74,"#DIV/0!","low"
"146",146,146,16,28,2,1,"",10,11,14,3,2,0,3,6.142857143,43,0.086,3.93,"#DIV/0!","low"
"147",147,147,16,29,2,1,"",5,9,7,3,1,9,9,6.142857143,43,0.08,3.89,"#DIV/0!","low"
"148",148,148,16,29,2,1,"",14,15,7,2,3,0,7,6.857142857,48,0.083,3.82,"#DIV/0!","low"
"149",149,149,16,30,2,0,"5",11,0,NA,NA,NA,NA,NA,5.5,11,NA,NA,"#DIV/0!","low"
"150",150,150,16,30,2,1,"",0,0,0,0,0,0,0,0,0,0.068,3.63,"#DIV/0!","low"
