ID,Treatment,Mesocosm,Block,Survivorship,Death_Day,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Avg_Egg,Mass_g,Thorax_Width_mm,Body_Condition,Total_eggs
53,24,8,1,0,11,5,1,0,0,0,,,1.2,,,#DIV/0!,6
54,24,8,1,1,,17,1,1,7,4,,0,6,0.062,3.56,0.01741573,30
55,24,7,1,0,5,6,0,,,,,,3,,,#DIV/0!,6
56,24,7,1,0,7,19,13,0,,,,,10.66666667,,,#DIV/0!,32
57,24,7,1,0,5,1,0,,,,,,0.5,,,#DIV/0!,1
58,24,6,1,0,3,5,,,,,,,5,,,#DIV/0!,5
59,24,6,1,0,4,4,5,,,,,,4.5,,,#DIV/0!,9
60,24,6,1,0,5,2,1,,,,,,1.5,,,#DIV/0!,3
61,22,5,1,0,5,4,2,,,,,,3,,,#DIV/0!,6
62,22,5,1,0,8,3,4,0,0,,,,1.75,,,#DIV/0!,7
63,22,5,1,0,1,,,,,,,,0,,,#DIV/0!,0
64,22,4,1,1,,4,3,0,0,0,2,0,1.285714286,0.054,3.39,0.015929204,9
65,22,4,1,1,,4,1,0,2,6,0,2,2.142857143,0.067,3.37,0.019881306,15
66,22,4,1,0,1,,,,,,,,0,,,#DIV/0!,0
67,22,3,1,1,,10,14,4,3,15,5,4,7.857142857,0.065,3.53,0.018413598,55
68,22,3,1,0,5,12,7,1,,,,,6.666666667,,,#DIV/0!,20
69,22,3,1,1,,8,0,0,0,0,0,6,2,0.065,3.7,0.017567568,14
70,22,2,1,1,,14,9,4,9,8,2,4,7.142857143,0.069,3.63,0.019008264,50
71,22,2,1,0,3,7,,,,,,,7,,,#DIV/0!,7
72,22,2,1,1,,7,3,0,2,7,1,2,3.142857143,0.061,3.22,0.018944099,22
73,22,1,1,0,11,6,4,0,0,0,,,2,,,#DIV/0!,10
74,22,1,1,1,,4,1,0,0,0,0,0,0.714285714,0.055,3.47,0.015850144,5
75,22,1,1,1,,6,3,0,0,4,0,0,1.857142857,0.084,3.79,0.022163588,13
76,16,30,1,1,,6,4,8,7,1,0,0,3.714285714,0.081,3.74,0.021657754,26
77,16,30,1,1,,8,7,9,13,3,3,3,6.571428571,0.092,3.96,0.023232323,46
78,16,30,1,0,7,3,1,2,1,,,,1.75,,,#DIV/0!,7
79,16,29,1,1,,10,2,0,6,2,0,2,3.142857143,0.054,3.34,0.016167665,22
80,16,29,1,1,,6,0,0,0,0,0,0,0.857142857,0.064,3.47,0.018443804,6
81,16,29,1,1,,18,8,6,4,0,6,0,6,0.071,3.38,0.021005917,42
82,16,28,1,1,,8,9,3,4,0,0,0,3.428571429,0.056,3.25,0.017230769,24
83,16,28,1,1,,2,3,2,5,7,3,5,3.857142857,0.049,3.2,0.0153125,27
84,16,28,1,1,,2,4,7,7,4,0,0,3.428571429,0.065,3.36,0.019345238,24
85,16,27,1,1,,6,10,7,7,0,0,0,4.285714286,0.084,3.69,0.022764228,30
86,16,27,1,1,,10,3,5,4,3,2,0,3.857142857,0.065,3.28,0.019817073,27
87,16,27,1,1,,9,5,4,5,0,2,0,3.571428571,0.082,3.69,0.022222222,25
88,16,26,1,1,,4,4,5,6,0,1,0,2.857142857,0.084,3.65,0.023013699,20
89,16,26,1,1,,16,8,4,3,2,3,5,5.857142857,0.063,3.56,0.017696629,41
90,16,26,1,1,,8,0,2,1,0,2,9,3.142857143,0.066,3.65,0.018082192,22
91,22,1,2,1,,12,1,0,0,0,9,2,3.428571429,0.068,3.81,#DIV/0!,24
92,22,1,2,1,,11,6,29,9,2,0,2,8.428571429,0.078,3.8,#DIV/0!,59
93,22,2,2,1,,11,0,5,0,0,0,0,2.285714286,0.079,3.81,#DIV/0!,16
94,22,2,2,0,13,20,8,2,5,0,0,,5.833333333,,,#DIV/0!,35
95,22,3,2,1,,25,6,10,7,1,4,0,7.571428571,0.078,3.63,#DIV/0!,53
96,22,3,2,0,5,13,0,,,,,,6.5,,,#DIV/0!,13
97,22,4,2,1,,21,9,9,2,0,2,8,7.285714286,0.085,3.83,#DIV/0!,51
98,22,4,2,0,11,13,10,3,1,0,,,5.4,,,#DIV/0!,27
99,22,5,2,0,4,23,6,1,,,,,10,,,#DIV/0!,30
100,22,5,2,0,5,17,4,,,,,,10.5,,,#DIV/0!,21
101,24,6,2,0,5,10,0,,,,,,5,,,#DIV/0!,10
102,24,6,2,0,11,14,10,12,3,10,2,,8.5,,,#DIV/0!,51
103,24,7,2,1,,15,0,0,0,0,8,8,4.428571429,0.068,3.67,#DIV/0!,31
104,24,7,2,1,,13,10,10,2,7,2,0,6.285714286,0.084,3.85,#DIV/0!,44
105,24,8,2,0,9,39,5,9,0,,,,13.25,,,#DIV/0!,53
106,24,8,2,0,2,32,,,,,,,32,,,#DIV/0!,32
107,24,9,2,1,,25,1,5,2,0,0,20,7.571428571,0.077,3.73,#DIV/0!,53
108,24,9,2,0,4,36,6,1,,,,,14.33333333,,,#DIV/0!,43
109,24,10,2,1,,19,9,10,2,6,4,6,8,0.086,3.69,#DIV/0!,56
110,24,10,2,0,8,15,6,6,6,,,,8.25,,,#DIV/0!,33
111,26,11,2,0,8,26,8,14,0,,,,12,,,#DIV/0!,48
112,26,11,2,0,7,26,6,13,,,,,15,,,#DIV/0!,45
113,26,12,2,0,4,22,6,,,,,,14,,,#DIV/0!,28
114,26,12,2,1,,8,0,0,6,2,5,0,3,0.065,3.41,#DIV/0!,21
115,26,13,2,1,,36,5,5,6,0,0,12,9.142857143,0.071,3.73,#DIV/0!,64
116,26,13,2,1,,20,2,5,4,1,3,14,7,0.081,3.84,#DIV/0!,49
117,26,14,2,0,13,6,7,4,0,0,0,,2.833333333,0.086,3.64,#DIV/0!,17
118,26,14,2,1,,37,14,2,1,2,0,12,9.714285714,0.088,3.95,#DIV/0!,68
119,26,15,2,1,,17,7,11,1,3,4,11,7.714285714,0.075,3.7,#DIV/0!,54
120,26,15,2,0,0,,,,,,,,0,,,#DIV/0!,0
121,28,16,2,1,,39,0,4,4,3,6,10,9.428571429,0.086,3.94,#DIV/0!,66
122,28,16,2,1,,29,14,1,4,5,0,0,7.571428571,0.08,3.76,#DIV/0!,53
123,28,17,2,0,5,33,34,,,,,,33.5,,,#DIV/0!,67
124,28,17,2,0,5,29,1,,,,,,15,,,#DIV/0!,30
125,28,18,2,0,5,22,0,,,,,,11,,,#DIV/0!,22
126,28,18,2,0,1,17,,,,,,,17,,,#DIV/0!,17
127,28,19,2,1,,14,0,1,0,0,0,0,2.142857143,0.06,3.57,#DIV/0!,15
128,28,19,2,0,1,,,,,,,,0,,,#DIV/0!,0
129,28,20,2,0,13,6,12,16,0,0,1,,5.833333333,,,#DIV/0!,35
130,28,20,2,0,14,5,6,11,0,1,0,,3.833333333,,,#DIV/0!,23
131,30,21,2,0,3,33,5,,,,,,19,,,#DIV/0!,38
132,30,21,2,0,2,4,,,,,,,4,,,#DIV/0!,4
133,30,22,2,0,0,,,,,,,,0,,,#DIV/0!,0
134,30,22,2,0,1,9,,,,,,,9,,,#DIV/0!,9
135,30,23,2,0,13,20,0,9,0,0,8,,6.166666667,,,#DIV/0!,37
136,30,23,2,0,5,0,7,,,,,,3.5,,,#DIV/0!,7
137,30,24,2,0,5,13,1,,,,,,7,,,#DIV/0!,14
138,30,24,2,1,,14,0,1,0,8,7,10,5.714285714,0.068,3.7,#DIV/0!,40
139,30,25,2,0,3,4,2,,,,,,3,,,#DIV/0!,6
140,30,25,2,0,5,15,0,,,,,,7.5,,,#DIV/0!,15
141,16,26,2,1,,6,10,4,2,0,9,5,5.142857143,0.054,3.46,#DIV/0!,36
142,16,26,2,1,,26,5,5,0,5,14,9,9.142857143,0.075,3.89,#DIV/0!,64
143,16,27,2,1,,6,1,0,0,1,2,0,1.428571429,0.062,3.53,#DIV/0!,10
144,16,27,2,0,1,2,,,,,,,2,,,#DIV/0!,2
145,16,28,2,1,,13,11,4,6,4,3,3,6.285714286,0.074,3.74,#DIV/0!,44
146,16,28,2,1,,10,11,14,3,2,0,3,6.142857143,0.086,3.93,#DIV/0!,43
147,16,29,2,1,,5,9,7,3,1,9,9,6.142857143,0.08,3.89,#DIV/0!,43
148,16,29,2,1,,14,15,7,2,3,0,7,6.857142857,0.083,3.82,#DIV/0!,48
149,16,30,2,0,5,11,0,,,,,,5.5,,,#DIV/0!,11
150,16,30,2,1,,0,0,0,0,0,0,0,0,0.068,3.63,#DIV/0!,0
