Species,ID,Mesocosm,Days_treatment,Temp.value,Temp.treatment,Fitness,Weight_capture,Weight_after_treatment,Survival
Pardosa sp,E25_3,E25,73,22,medium.low,1.9063604240282688,16.98,49.35,1
Pardosa sp,E26_3,E26,73,22,medium.low,1.3455598455598456,5.18,12.15,1
Pardosa sp,E32_3,E32,73,22,medium.low,1.1035953686776359,16.41,34.52,1
Pardosa sp,E37_3,E37,73,22,medium.low,0.4172876304023845,6.71,9.51,1
Pardosa sp,E40_3,E40,73,22,medium.low,0.6998341625207296,6.03,10.25,1
Pardosa sp,E41_3,E41,73,22,medium.low,NA,NA,15.55,1
Pardosa sp,E43_3,E43,73,22,medium.low,0.8878947368421052,19,35.87,1
Pardosa sp,E44_3,E44,73,22,medium.low,0.5992063492063494,22.68,36.27,1
Pardosa sp,E45_3,E45,73,22,medium.low,0.9929292929292929,9.9,19.73,1
Pardosa sp,E47_3,E47,73,22,medium.low,0.7620689655172416,5.8,10.22,1
Pardosa sp,E48_3,E48,73,22,medium.low,0.39361702127659587,5.64,7.86,1
Pardosa sp,E25_4,E25,73,22,medium.low,1.6302325581395352,4.3,11.31,1
Pardosa sp,E26_4,E26,73,22,medium.low,0.9815384615384617,6.5,12.88,1
Pardosa sp,E27_4,E27,73,22,medium.low,1.2083333333333333,4.8,10.6,1
Pardosa sp,E28_4,E28,73,22,medium.low,0.877496671105193,7.51,14.1,1
Pardosa sp,E30_4,E30,73,22,medium.low,1.375984251968504,5.08,12.07,1
Pardosa sp,E32_4,E32,73,22,medium.low,0.3494132985658409,7.67,10.35,1
Pardosa sp,E37_4,E37,73,22,medium.low,1.836317135549872,3.91,11.09,1
Pardosa sp,E40_4,E40,73,22,medium.low,0.5766423357664233,5.48,8.64,1
Pardosa sp,E41_4,E41,73,22,medium.low,0.623249299719888,7.14,11.59,1
Pardosa sp,E43_4,E43,73,22,medium.low,0.9989572471324298,9.59,19.17,1
Pardosa sp,E44_4,E44,73,22,medium.low,0.7855626326963906,14.13,25.23,1
Pardosa sp,E45_4,E45,73,22,medium.low,1.452074391988555,6.99,17.14,1
Pardosa sp,E46_4,E46,73,22,medium.low,0.6785714285714287,5.6,9.4,1
Pardosa sp,E47_4,E47,73,22,medium.low,1.243346007604563,5.26,11.8,1
Pardosa sp,E48_4,E48,73,22,medium.low,0.8781725888324874,3.94,7.4,1
Pardosa sp,E25_5,E25,73,26,opt,2.6169799092676604,15.43,55.81,1
Pardosa sp,E27_5,E27,73,26,opt,0.5711892797319935,5.97,9.38,1
Pardosa sp,E32_5,E32,73,26,opt,1.196969696969697,9.24,20.3,1
Pardosa sp,E40_5,E40,73,26,opt,0.8841354723707664,5.61,10.57,1
Pardosa sp,E41_5,E41,73,26,opt,2.083437110834372,8.03,24.76,1
Pardosa sp,E44_5,E44,73,26,opt,0.20303605313092973,15.81,19.02,1
Pardosa sp,E45_5,E45,73,26,opt,1.1842105263157894,11.4,24.9,1
Pardosa sp,E46_5,E46,73,26,opt,1.349072512647555,5.93,13.93,1
Pardosa sp,E47_5,E47,73,26,opt,0.7551020408163265,6.37,11.18,1
Pardosa sp,E48_5,E48,73,26,opt,1.4527629233511583,5.61,13.76,1
Pardosa sp,E25_6,E25,73,26,opt,3.444933920704846,4.54,20.18,1
Pardosa sp,E27_6,E27,73,26,opt,3.411633109619687,4.47,19.72,1
Pardosa sp,E28_6,E28,73,26,opt,1.3745173745173747,7.77,18.45,1
Pardosa sp,E30_6,E30,73,26,opt,2.403389830508474,5.9,20.08,1
Pardosa sp,E32_6,E32,73,26,opt,1.0026075619295958,7.67,15.36,1
Pardosa sp,E37_6,E37,73,26,opt,3.971608832807571,3.17,15.76,1
Pardosa sp,E40_6,E40,73,26,opt,1.981294964028777,6.95,20.72,1
Pardosa sp,E41_6,E41,73,26,opt,2.353548387096774,7.75,25.99,1
Pardosa sp,E44_6,E44,73,26,opt,1.3729603729603728,8.58,20.36,1
Pardosa sp,E45_6,E45,73,26,opt,0.6611842105263157,6.08,10.1,1
