Species,ID,Mesocosm,Days_treatment,Temp.value,Temp.treatment,Fitness
Armadillidium vulgare,E36_4,E36,49,22,medium.high,1
Armadillidium vulgare,E37_4,E37,49,22,medium.high,1
Armadillidium vulgare,E38_4,E38,49,22,medium.high,1
Armadillidium vulgare,E40_4,E40,49,22,medium.high,0
Armadillidium vulgare,E41_4,E41,49,22,medium.high,1
Armadillidium vulgare,E43_4,E43,49,22,medium.high,1
Armadillidium vulgare,E44_4,E44,49,22,medium.high,0
Armadillidium vulgare,E46_4,E46,49,22,medium.high,1
Armadillidium vulgare,E47_4,E47,49,22,medium.high,1
Armadillidium vulgare,E48_4,E48,49,22,medium.high,1
Armadillidium vulgare,E25_5,E25,49,26,high,0
Armadillidium vulgare,E26_5,E26,49,26,high,0
Armadillidium vulgare,E27_5,E27,49,26,high,0
Armadillidium vulgare,E29_5,E29,49,26,high,0
Armadillidium vulgare,E30_5,E30,49,26,high,1
Armadillidium vulgare,E31_5,E31,49,26,high,0
Armadillidium vulgare,E32_5,E32,49,26,high,0
Armadillidium vulgare,E33_5,E33,49,26,high,0
Armadillidium vulgare,E34_5,E34,49,26,high,1
Armadillidium vulgare,E35_5,E35,49,26,high,1
Armadillidium vulgare,E36_5,E36,49,26,high,0
Armadillidium vulgare,E37_5,E37,49,26,high,1
Armadillidium vulgare,E38_5,E38,49,26,high,0
Armadillidium vulgare,E39_5,E39,49,26,high,1
Armadillidium vulgare,E40_5,E40,49,26,high,0
Armadillidium vulgare,E41_5,E41,49,26,high,0
Armadillidium vulgare,E42_5,E42,49,26,high,0
Armadillidium vulgare,E43_5,E43,49,26,high,1
Armadillidium vulgare,E44_5,E44,49,26,high,0
Armadillidium vulgare,E46_5,E46,49,26,high,1
Armadillidium vulgare,E47_5,E47,49,26,high,1
Armadillidium vulgare,E48_5,E48,49,26,high,0
Armadillidium vulgare,E25_6,E25,49,26,high,1
Armadillidium vulgare,E26_6,E26,49,26,high,0
Armadillidium vulgare,E27_6,E27,49,26,high,0
Armadillidium vulgare,E29_6,E29,49,26,high,1
Armadillidium vulgare,E30_6,E30,49,26,high,0
Armadillidium vulgare,E32_6,E32,49,26,high,1
Armadillidium vulgare,E33_6,E33,49,26,high,0
Armadillidium vulgare,E34_6,E34,49,26,high,1
Armadillidium vulgare,E36_6,E36,49,26,high,0
Armadillidium vulgare,E37_6,E37,49,26,high,1
Armadillidium vulgare,E38_6,E38,49,26,high,0
Armadillidium vulgare,E40_6,E40,49,26,high,1
Armadillidium vulgare,E41_6,E41,49,26,high,1
Armadillidium vulgare,E43_6,E43,49,26,high,0
Armadillidium vulgare,E44_6,E44,49,26,high,0
Armadillidium vulgare,E46_6,E46,49,26,high,0
Armadillidium vulgare,E47_6,E47,49,26,high,0
Armadillidium vulgare,E48_6,E48,49,26,high,0
